0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/ HTTP/1.1" 200 21354
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/bootstrap-ring.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/i.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/s.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/g.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/f.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/h.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/j.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/c.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/b.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/d.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/a.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/e.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:21:58:55 +0700] "GET /shopbanhang/assets/user/assets/img/new.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/ HTTP/1.1" 200 21341
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/bootstrap-ring.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/g.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/i.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/s.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/h.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/f.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/j.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/b.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/c.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/d.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/a.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/e.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/user/assets/img/new.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:02:32 +0700] "GET /shopbanhang/assets/user/img/bootstrap-templates.png HTTP/1.1" 200 44919
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/ HTTP/1.1" 200 21036
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/bootstrap-ring.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/i.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/g.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/s.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/f.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/h.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/j.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/a.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/b.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/c.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/d.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/e.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:04:06 +0700] "GET /shopbanhang/assets/user/assets/img/new.png HTTP/1.1" 404 682
127.0.0.1 - - [19/Sep/2023:22:31:39 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:39 +0700] "GET /shopbanhang/ HTTP/1.1" 200 21036
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/shopping-cart-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/bootstrap-ecommerce-templates.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/bootstrap-template.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/i.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/paypal.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/bootstrap-ring.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/h.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/s.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/g.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/b.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/f.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/j.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/d.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/a.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/2.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/c.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/e.jpg HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/1.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/3.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/6.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/5.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/img/4.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/user/assets/img/white_leather.png HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [19/Sep/2023:22:31:40 +0700] "GET /shopbanhang/assets/user/assets/img/new.png HTTP/1.1" 404 682
